As-Of-Date,Symbol,Name,CUSIP,ISIN,SEDOL,Percent-Of-Assets,Quantity,Sector,Country,Exchange,Market Currency,Exchange Rate,Currency
10/30/2020,AAPL,APPLE INC COMMON STOCK USD.00001,37833100,US0378331005,2046251,12.3285986,"13,216,765.00", ,US,,USD,1,USD
10/30/2020,MSFT,MICROSOFT CORP COMMON STOCK USD.00000625,594918104,US5949181045,2588173,10.7937088,"6,221,424.00", ,US,,USD,1,USD
10/30/2020,AMZN,AMAZON.COM INC COMMON STOCK USD.01,23135106,US0231351067,2000019,9.1063115,"350,025.00", ,US,,USD,1,USD
10/30/2020,FB,FACEBOOK INC CLASS A COMMON STOCK USD.000006,30303M102,US30303M1027,B7TL820,4.4567235,"1,976,779.00", ,US,,USD,1,USD
10/30/2020,GOOGL,ALPHABET INC CL A COMMON STOCK USD.001,02079K305,US02079K3059,BYVY8G0,3.4200588,"246,969.00", ,US,,USD,1,USD
10/30/2020,GOOG,ALPHABET INC CL C COMMON STOCK USD.001,02079K107,US02079K1079,BYY88Y7,3.3520325,"241,325.00", ,US,,USD,1,USD
10/30/2020,NVDA,NVIDIA CORP COMMON STOCK USD.001,67066G104,US67066G1040,2379504,2.1795738,"507,343.00", ,US,,USD,1,USD
10/30/2020,V,VISA INC CLASS A SHARES COMMON STOCK USD.0001,92826C839,US92826C8394,B2PZN04,2.1585801,"1,386,338.00", ,US,,USD,1,USD
10/30/2020,UNH,UNITEDHEALTH GROUP INC COMMON STOCK USD.01,91324P102,US91324P1021,2917766,2.0429919,"781,353.00", ,US,,USD,1,USD
10/30/2020,TSLA,TESLA INC COMMON STOCK USD.001,88160R101,US88160R1014,B616C79,2.037883,"612,890.00", ,US,,USD,1,USD
10/30/2020,HD,HOME DEPOT INC COMMON STOCK USD.05,437076102,US4370761029,2434209,2.0225847,"885,008.00", ,US,,USD,1,USD
10/30/2020,MA,MASTERCARD INC   A COMMON STOCK USD.0001,57636Q104,US57636Q1040,B121557,1.796407,"726,320.00", ,US,,USD,1,USD
10/30/2020,PYPL,PAYPAL HOLDINGS INC COMMON STOCK USD.0001,70450Y103,US70450Y1038,BYW36M8,1.538702,"964,757.00", ,US,,USD,1,USD
10/30/2020,ADBE,ADOBE INC COMMON STOCK USD.0001,00724F101,US00724F1012,2008154,1.5111516,"394,442.00", ,US,,USD,1,USD
10/30/2020,CRM,SALESFORCE.COM INC COMMON STOCK USD.001,79466L302,US79466L3024,2310525,1.4891764,"748,226.00", ,US,,USD,1,USD
10/30/2020,NFLX,NETFLIX INC COMMON STOCK USD.001,64110L106,US64110L1061,2857817,1.478188,"362,610.00", ,US,,USD,1,USD
10/30/2020,TMO,THERMO FISHER SCIENTIFIC INC COMMON STOCK USD1.0,883556102,US8835561023,2886907,1.3187777,"325,297.00", ,US,,USD,1,USD
10/30/2020,COST,COSTCO WHOLESALE CORP COMMON STOCK USD.005,22160K105,US22160K1051,2701271,1.1121631,"362,933.00", ,US,,USD,1,USD
10/30/2020,DHR,DANAHER CORP COMMON STOCK USD.01,235851102,US2358511028,2250870,1.0210839,"519,138.00", ,US,,USD,1,USD
10/30/2020,AVGO,BROADCOM INC COMMON STOCK,11135F101,US11135F1012,BDZ78H9,0.9906489,"330,667.00", ,US,,USD,1,USD
10/30/2020,LIN,LINDE PLC COMMON STOCK EUR.001,G5494J103,IE00BZ12WP82,BZ12WP8,0.8155018,"431,928.00", ,GB,,USD,1,USD
