As-Of-Date,Symbol,Name,CUSIP,ISIN,SEDOL,Percent-Of-Assets,Quantity,Sector,Country,Exchange,Market Currency,Exchange Rate,Currency
10/30/2020,BRK.B,BERKSHIRE HATHAWAY INC CL B COMMON STOCK USD.0033,84670702,US0846707026,2073390,2.5188894,"819,350.00", ,US,,USD,1,USD
10/30/2020,JNJ,JOHNSON + JOHNSON COMMON STOCK USD1.0,478160104,US4781601046,2475833,2.2719227,"1,088,231.00", ,US,,USD,1,USD
10/30/2020,PG,PROCTER + GAMBLE CO/THE COMMON STOCK,742718109,US7427181091,2704407,2.1484484,"1,029,163.00", ,US,,USD,1,USD
10/30/2020,JPM,JPMORGAN CHASE + CO COMMON STOCK USD1.0,46625H100,US46625H1005,2190385,1.8805107,"1,259,706.00", ,US,,USD,1,USD
10/30/2020,VZ,VERIZON COMMUNICATIONS INC COMMON STOCK USD.1,92343V104,US92343V1044,2090571,1.4843792,"1,710,578.00", ,US,,USD,1,USD
10/30/2020,DIS,WALT DISNEY CO/THE COMMON STOCK USD.01,254687106,US2546871060,2270726,1.3790428,"746,952.00", ,US,,USD,1,USD
10/30/2020,PFE,PFIZER INC COMMON STOCK USD.05,717081103,US7170811035,2684703,1.2408308,"2,296,813.00", ,US,,USD,1,USD
10/30/2020,WMT,WALMART INC COMMON STOCK USD.1,931142103,US9311421039,2936921,1.2126517,"573,984.00", ,US,,USD,1,USD
10/30/2020,CMCSA,COMCAST CORP CLASS A COMMON STOCK USD.01,20030N101,US20030N1019,2044545,1.2118907,"1,884,240.00", ,US,,USD,1,USD
10/30/2020,T,AT+T INC COMMON STOCK USD1.0,00206R102,US00206R1023,2831811,1.2116208,"2,944,951.00", ,US,,USD,1,USD
10/30/2020,MRK,MERCK + CO. INC. COMMON STOCK USD.5,58933Y105,US58933Y1055,2778844,1.1971476,"1,045,367.00", ,US,,USD,1,USD
10/30/2020,INTC,INTEL CORP COMMON STOCK USD.001,458140100,US4581401001,2463247,1.1853122,"1,758,012.00", ,US,,USD,1,USD
10/30/2020,ABT,ABBOTT LABORATORIES COMMON STOCK,2824100,US0028241000,2002305,1.1712058,"731,789.00", ,US,,USD,1,USD
10/30/2020,KO,COCA COLA CO/THE COMMON STOCK USD.25,191216100,US1912161007,2206657,1.169315,"1,597,881.00", ,US,,USD,1,USD
10/30/2020,PEP,PEPSICO INC COMMON STOCK USD.017,713448108,US7134481081,2681511,1.161478,"572,282.00", ,US,,USD,1,USD
10/30/2020,BAC,BANK OF AMERICA CORP COMMON STOCK USD.01,60505104,US0605051046,2295677,1.1372459,"3,151,394.00", ,US,,USD,1,USD
10/30/2020,MCD,MCDONALD S CORP COMMON STOCK USD.01,580135101,US5801351017,2550707,0.9975451,"307,574.00", ,US,,USD,1,USD
10/30/2020,CSCO,CISCO SYSTEMS INC COMMON STOCK USD.001,17275R102,US17275R1023,2198163,0.9565682,"1,749,920.00", ,US,,USD,1,USD
10/30/2020,ABBV,ABBVIE INC COMMON STOCK USD.01,00287Y109,US00287Y1091,B92SR70,0.9452517,"729,482.00", ,US,,USD,1,USD
10/30/2020,NKE,NIKE INC  CL B COMMON STOCK,654106103,US6541061031,2640147,0.9408202,"514,556.00", ,US,,USD,1,USD
10/30/2020,NEE,NEXTERA ENERGY INC COMMON STOCK USD.01,65339F101,US65339F1012,2328915,0.9025607,"809,660.00", ,US,,USD,1,USD
10/30/2020,QCOM,QUALCOMM INC COMMON STOCK USD.0001,747525103,US7475251036,2714923,0.876076,"466,406.00", ,US,,USD,1,USD
10/30/2020,ACN,ACCENTURE PLC CL A COMMON STOCK USD.0000225,G1151C101,IE00B4BNMY34,B4BNMY3,0.8685419,"262,971.00", ,IE,,USD,1,USD
10/30/2020,XOM,EXXON MOBIL CORP COMMON STOCK,30231G102,US30231G1022,2326618,0.8681269,"1,747,817.00", ,US,,USD,1,USD
10/30/2020,MDT,MEDTRONIC PLC COMMON STOCK USD.1,G5960L103,IE00BTN1Y115,BTN1Y11,0.85075,"555,559.00", ,IE,,USD,1,USD
10/30/2020,CVX,CHEVRON CORP COMMON STOCK USD.75,166764100,US1667641005,2838555,0.842154,"795,799.00", ,US,,USD,1,USD
10/30/2020,TXN,TEXAS INSTRUMENTS INC COMMON STOCK USD1.0,882508104,US8825081040,2885409,0.8336067,"378,634.00", ,US,,USD,1,USD
10/30/2020,BMY,BRISTOL MYERS SQUIBB CO COMMON STOCK USD.1,110122108,US1101221083,2126335,0.8290923,"931,569.00", ,US,,USD,1,USD
10/30/2020,AMGN,AMGEN INC COMMON STOCK USD.0001,31162100,US0311621009,2023607,0.7997097,"242,097.00", ,US,,USD,1,USD
10/30/2020,UNP,UNION PACIFIC CORP COMMON STOCK USD2.5,907818108,US9078181081,2914734,0.7570517,"280,597.00", ,US,,USD,1,USD
10/30/2020,LOW,LOWE S COS INC COMMON STOCK USD.5,548661107,US5486611073,2536763,0.7520949,"312,419.00", ,US,,USD,1,USD
10/30/2020,HON,HONEYWELL INTERNATIONAL INC COMMON STOCK USD1.0,438516106,US4385161066,2020459,0.7283752,"290,001.00", ,US,,USD,1,USD
10/30/2020,UPS,UNITED PARCEL SERVICE CL B COMMON STOCK USD.01,911312106,US9113121068,2517382,0.6991934,"292,274.00", ,US,,USD,1,USD
10/30/2020,PM,PHILIP MORRIS INTERNATIONAL COMMON STOCK,718172109,US7181721090,B2PKRQ3,0.6960458,"643,656.00", ,US,,USD,1,USD
10/30/2020,ORCL,ORACLE CORP COMMON STOCK USD.01,68389X105,US68389X1054,2661568,0.6827036,"799,077.00", ,US,,USD,1,USD
10/30/2020,LLY,ELI LILLY + CO COMMON STOCK,532457108,US5324571083,2516152,0.6517986,"328,120.00", ,US,,USD,1,USD
